DATE,CPIAUCSL,PPIACO,PCE
2021-07-01,271.994,231.85,16150.8
2021-08-01,272.789,233.415,16305.6
2021-09-01,273.887,235.678,16398.9
2021-10-01,276.434,240.465,16613.8
2021-11-01,278.799,243.287,16741.6
2021-12-01,280.808,241.338,16799.2
2022-01-01,282.39,246.453,16888.6
2022-02-01,284.535,252.66,16999.7
2022-03-01,287.553,260.014,17203.6
2022-04-01,288.764,265.31,17310.5
2022-05-01,291.359,273.251,17384.8
2022-06-01,294.996,280.251,17550.0
2022-07-01,294.977,272.274,17556.4
2022-08-01,295.209,269.546,17692.2
2022-09-01,296.341,267.898,17804.0
2022-10-01,297.863,265.061,17915.1
2022-11-01,298.648,263.157,17892.5
2022-12-01,298.812,257.897,17943.6
2023-01-01,300.356,260.227,18229.6
2023-02-01,301.509,258.669,18296.5
2023-03-01,301.744,257.062,18282.6
2023-04-01,303.032,256.908,18363.8
2023-05-01,303.365,253.67,18407.8
2023-06-01,304.003,253.86,18485.4
2023-07-01,304.628,253.835,18595.4
2023-08-01,306.187,257.68,18651.6
2023-09-01,307.288,258.934,18791.5
2023-10-01,307.531,255.121,18794.7
2023-11-01,308.024,253.063,18867.8
2023-12-01,308.742,249.767,19001.7
2024-01-01,309.685,250.698,
